"REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","POSTAL_CODE","LATITUDE83","LONGITUDE83","HUC8_CODE","ACCURACY_VALUE","COLLECT_MTH_DESC","REF_POINT_DESC","CREATE_DATE","UPDATE_DATE","LAST_REPORTED_DATE","FAC_URL","PGM_SYS_ID","PGM_SYS_ACRNM","INTEREST_TYPE","PROGRAM_URL","PGM_REPORT_URL","PUBLIC_IND","ACTIVE_STATUS","FEDERAL_AGENCY_NAME","HUC_12","FEDERAL_LAND_IND","FED_FACILITY_CODE","EPA_REGION_CODE","KEY_FIELD"
"110020662825","KINLANI BORDERTOWN (FLAGSTAFF) DORMITORY","901 NORTH KINLANI ROAD","FLAGSTAFF","COCONINO","04005","AZ","86002-0609",35.2112,-111.65798,"15020015",30,"ADDRESS MATCHING-HOUSE NUMBER","CENTER OF A FACILITY OR STATION",2005-02-10 03:09:19,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020662825","D33N05","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","09","BIA INDIAN SCHOOLD33N05"
"110020688781","CHICKASAW CHILDREN'S VILLAGE","1185 VILLAGE ROAD","KINGSTON","MARSHALL","40095","OK","73439-1138",34.00116,-96.685565,"11130304",150,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-17 23:37:41,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020688781","D03B02","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs","111303040303",NA,"Y","06","BIA INDIAN SCHOOLD03B02"
"110011795147","INDIAN ISLAND SCHOOL","10 WABANAKI WAY","OLD TOWN","PENOBSCOT","23019","ME","04468",44.952451,-68.64709,"01020005",50,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-10 03:06:53,2005-04-29 03:02:46,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011795147","D57S02","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","01","BIA INDIAN SCHOOLD57S02"
"110020662095","JICARILLA DORMITORY / SCHOOL","258 EMPIRE DR","DULCE","RIO ARRIBA","35039","NM","87528-1009",36.945063,-106.990475,"14080101",150,"ADDRESS MATCHING-HOUSE NUMBER",NA,2005-02-10 03:05:39,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020662095","D25M33","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs","140801010505",NA,"Y","06","BIA INDIAN SCHOOLD25M33"
"110024409521","HUNTERS POINT BOARDING SCHOOL","HWY 12 & S LUPTON RD","SAINT MICHAELS","APACHE","04001","AZ","86511",35.6,-109.108306,"15020006",925,"INTERPOLATION-MAP",NA,2005-02-10 03:09:09,2010-04-05 02:55:02,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110024409521","D36N11","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","09","BIA INDIAN SCHOOLD36N11"
"110011648468","SHERMAN INDIAN HIGH SCHOOL","9010 MAGNOLIA AV","RIVERSIDE","RIVERSIDE","06065","CA","92503-3973",33.925339,-117.437659,"18070203",50,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-10 03:06:38,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011648468","D60J02","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","09","BIA INDIAN SCHOOLD60J02"
"110020661700","EUFAULA DORMITORY","716 SWADLEY DRIVE","EUFAULA","MCINTOSH","40091","OK","74432-2201",35.289531,-95.59516,"11100302",50,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-10 03:03:29,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020661700","D07B02","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs","111003020712",NA,"Y","06","BIA INDIAN SCHOOLD07B02"
"110020662530","RED WATER ELEMENTARY","555 RED WATER ROAD","CARTHAGE","LEAKE","28079","MS","39051-9103",32.766699,-89.536951,"03180001",50,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-10 03:08:01,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020662530","D78S13","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","04","BIA INDIAN SCHOOLD78S13"
"110020662497","CHOCTAW CENTRAL HIGH SCHOOL","150 RECREATION ROAD","PHILADELPHIA","NESHOBA","28099","MS","39350-7180",32.779078,-89.223773,"03180001",150,"ADDRESS MATCHING-HOUSE NUMBER","ENTRANCE POINT OF A FACILITY OR STATION",2005-02-10 03:07:58,NA,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020662497","D78S24","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","04","BIA INDIAN SCHOOLD78S24"
"110014450744","BREAD SPRINGS DAY SCHOOL","BREAD SPRINGS ROAD","GALLUP","MCKINLEY","35031","NM","87305",35.34963,-108.72697,"15020006",NA,NA,NA,2005-02-10 03:05:28,2006-08-09 03:09:08,NA,"https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110014450744","D34N04","BIA INDIAN SCHOOL","COMPLIANCE ASSISTANCE",NA,"no data yet","Y",NA,"Interior: Bureau of Indian Affairs",NA,NA,"Y","06","BIA INDIAN SCHOOLD34N04"
